item_index,prompt,choices,gold_label,predicted_label,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_gb
0,"An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?

Answer choices:
A. Planetary density will decrease.
B. Planetary years will become longer.
C. Planetary days will become shorter.
D. Planetary gravity will become stronger.","[('A', 'Planetary density will decrease.'), ('B', 'Planetary years will become longer.'), ('C', 'Planetary days will become shorter.'), ('D', 'Planetary gravity will become stronger.')]",C,D,0,1,17.704175205845456,0.014276963499924,0.0143831746190699,2.171434523002972,0.0047607421875
1,"A group of engineers wanted to know how different building designs would respond during an earthquake. They made several models of buildings and tested each for its ability to withstand earthquake conditions. Which will most likely result from testing different building designs?

Answer choices:
A. buildings will be built faster
B. buildings will be made safer
C. building designs will look nicer
D. building materials will be cheaper","[('A', 'buildings will be built faster'), ('B', 'buildings will be made safer'), ('C', 'building designs will look nicer'), ('D', 'building materials will be cheaper')]",B,D,0,1,28.18038706097252,0.0141271240004243,0.0143881876980351,3.106804287985142,0.0067138671875
2,"The end result in the process of photosynthesis is the production of sugar and oxygen. Which step signals the beginning of photosynthesis?

Answer choices:
A. Chemical energy is absorbed through the roots.
B. Light energy is converted to chemical energy.
C. Chlorophyll in the leaf captures light energy.
D. Sunlight is converted into chlorophyll.","[('A', 'Chemical energy is absorbed through the roots.'), ('B', 'Light energy is converted to chemical energy.'), ('C', 'Chlorophyll in the leaf captures light energy.'), ('D', 'Sunlight is converted into chlorophyll.')]",C,B,0,0,5.621296194491859,0.0141209017506298,0.0143803852450773,2.2279217790091934,0.0050048828125
3,"A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?

Answer choices:
A. the control
B. the hypothesis statement
C. the dependent (responding) variable
D. the independent (manipulated) variable","[('A', 'the control'), ('B', 'the hypothesis statement'), ('C', 'the dependent (responding) variable'), ('D', 'the independent (manipulated) variable')]",D,D,1,0,4.903300549932935,0.0141611912508778,0.0143833387459997,3.623712774011437,0.0081787109375
4,"Devil facial tumor disease (DFTD) is a disease that is decimating the population of Tasmanian devils. The disease passes from one animal to another through bites and is caused by parasites. The parasites cause cancerous tumors that spread throughout an infected animal's body and kill it. What is the best description of DFTD?

Answer choices:
A. a non-infectious, cell-cycle disease
B. an infectious, cell-cycle disease
C. a non-infectious, chronic disease
D. an infectious, chronic disease","[('A', 'a non-infectious, cell-cycle disease'), ('B', 'an infectious, cell-cycle disease'), ('C', 'a non-infectious, chronic disease'), ('D', 'an infectious, chronic disease')]",B,D,0,0,144.0171067289854,0.0141265964998638,0.0143945444747317,4.605182440014687,0.0101318359375
5,"A type of small mammal from the mountain regions of the western United States makes its home out of piles of rock. During summer months, the mammal places grasses and seeds in protected places in the rock piles. Which of the following is the most likely reason for this behavior?

Answer choices:
A. to repare for migration before winter
B. to provide warmth during the cold winter months
C. to store food that will be eaten over the winter months
D. to protect the grasses and seeds from decay before winter","[('A', 'to repare for migration before winter'), ('B', 'to provide warmth during the cold winter months'), ('C', 'to store food that will be eaten over the winter months'), ('D', 'to protect the grasses and seeds from decay before winter')]",C,B,0,0,7.718451076311482,0.0141242139998212,0.0143856645486841,4.041325935984787,0.0089111328125
6,"Petrified palm trees are found in sedimentary rock near glaciers. The presence of the petrified palm trees most likely provides evidence for which statement?

Answer choices:
A. There was once more water in the area.
B. The area was once grassland.
C. The climate in the area was once tropical.
D. There are active faults in the area.","[('A', 'There was once more water in the area.'), ('B', 'The area was once grassland.'), ('C', 'The climate in the area was once tropical.'), ('D', 'There are active faults in the area.')]",C,C,1,1,2.811910150591688,0.0141211440004553,0.0143828633939296,2.429657036000208,0.00537109375
7,"Farmers in Wyoming were concerned because some of their chickens were being preyed upon by hawks that lived in areas around their ranches. The farmers grouped together and hunted the hawks until they were no longer in their area. Which would most likely happen next?

Answer choices:
A. The chicken population would go down.
B. Populations of mice and rats would increase.
C. Another bird of prey would replace the hawk.
D. The chickens would have a lower rate of disease.","[('A', 'The chicken population would go down.'), ('B', 'Populations of mice and rats would increase.'), ('C', 'Another bird of prey would replace the hawk.'), ('D', 'The chickens would have a lower rate of disease.')]",B,B,1,0,5.0139191008500825,0.0141028342504796,0.0143839914588598,3.7243291590111767,0.0081787109375
8,"Copper is an element that is used in electrical wires. What is the smallest unit of copper that still maintains the characteristics of copper?

Answer choices:
A. the atom
B. the electron
C. the nucleus
D. the proton","[('A', 'the atom'), ('B', 'the electron'), ('C', 'the nucleus'), ('D', 'the proton')]",A,A,1,1,10.710276389121002,0.0141029990004426,0.0143745582501005,1.838857219014244,0.0040283203125
9,"According to cell classification, prokaryotic cells are separated from eukaryotic cells. Which feature is often used to distinguish prokaryotic cells from eukaryotic cells?

Answer choices:
A. life processes
B. size differences
C. plasma membranes
D. energy molecules","[('A', 'life processes'), ('B', 'size differences'), ('C', 'plasma membranes'), ('D', 'energy molecules')]",B,C,0,0,1555.0347593493404,0.0141071485004431,0.0143797009418343,2.5297371559972817,0.0054931640625
