item_index,prompt,choices,gold_index,predicted_index,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_gb
0,"Playing harmonica: A man is standing in front of a camera. He starts playing a harmonica for the camera. He

Answer choices:
A. begins to play the harmonica with his body while looking at the camera.
B. seems to be singing while playing the harmonica.
C. rocks back and forth to the music as he goes.
D. painted a fence in front of the camera.","['begins to play the harmonica with his body while looking at the camera.', 'seems to be singing while playing the harmonica.', 'rocks back and forth to the music as he goes.', 'painted a fence in front of the camera.']",2,1,0,0,9.338881827473063,0.0151126600007955,0.0178130033829854,2.572084117004124,0.0029296875
1,"Sharpening knives: Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. He

Answer choices:
A. cuts the center stone in half and blow it on to make it bigger.
B. grind it hard to make the pieces smaller.
C. eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.
D. starts to party with them and throw the pieces by hand while they celebrate.","['cuts the center stone in half and blow it on to make it bigger.', 'grind it hard to make the pieces smaller.', 'eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.', 'starts to party with them and throw the pieces by hand while they celebrate.']",1,2,0,1,24.771264843471847,0.0149471750000884,0.017765844265341,3.5418941760071903,0.004150390625
2,"Cheerleading: A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. They all

Answer choices:
A. dance and flip on stage while hanging their hats on the sides.
B. continue dancing and flipping, doing hand springs.
C. dance together with flip up their sleeves.
D. perform their routines as the studio rashes to a halt with cheerleaders in the audience.","['dance and flip on stage while hanging their hats on the sides.', 'continue dancing and flipping, doing hand springs.', 'dance together with flip up their sleeves.', 'perform their routines as the studio rashes to a halt with cheerleaders in the audience.']",1,1,1,1,21.31116546446937,0.014945337500194,0.0178138318176479,3.4800370589891827,0.00390625
3,"Gargling mouthwash: A young boy and girl are standing over a sink with their mother talking. The mother

Answer choices:
A. is now putting lipstick on the boy's mouth and he tries to stop her but only gets a little bit stuck.
B. washes the boy while the child grabs shampoo.
C. shows some shaving cream on the boy who is scrubbing her brushes.
D. instructs them on how to brush their teeth while laughing.","[""is now putting lipstick on the boy's mouth and he tries to stop her but only gets a little bit stuck."", 'washes the boy while the child grabs shampoo.', 'shows some shaving cream on the boy who is scrubbing her brushes.', 'instructs them on how to brush their teeth while laughing.']",3,3,1,1,8.75679651416169,0.0149372150003728,0.0177910374626489,2.675031367010888,0.00341796875
4,"Cutting the grass: He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. The yard

Answer choices:
A. is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth.
B. is very neat and clean and very active under the circumstances.
C. gets mowed quicker by the dog.
D. eventually looks happy on the outside and appears to be going pretty happily.","['is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth.', 'is very neat and clean and very active under the circumstances.', 'gets mowed quicker by the dog.', 'eventually looks happy on the outside and appears to be going pretty happily.']",0,0,1,0,16.141130665018924,0.014946257500469,0.0178322987320777,3.786735465006132,0.00439453125
5,"Beer pong: The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. One of the ping pongs

Answer choices:
A. is knocked upside down, which causes the other teens to give each other high fives.
B. tries to rise but dikes instead.
C. rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on.
D. lands in the cup and one of the boys begins to drink the beer.","['is knocked upside down, which causes the other teens to give each other high fives.', 'tries to rise but dikes instead.', 'rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on.', 'lands in the cup and one of the boys begins to drink the beer.']",3,3,1,1,4.615199778306167,0.0149324475000867,0.0177798920502248,4.309123990004082,0.00634765625
6,"Beer pong: One of the ping pongs lands in the cup and one of the boys begins to drink the beer. The group

Answer choices:
A. of teens is sailing down the river with others sailing in the background.
B. gets up together and poses with their vests to celebrate.
C. continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh.
D. does a trick and the liquid is poured on a second table.","['of teens is sailing down the river with others sailing in the background.', 'gets up together and poses with their vests to celebrate.', 'continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh.', 'does a trick and the liquid is poured on a second table.']",2,2,1,0,17.58785869239056,0.0149453972499031,0.0177465691485745,3.165431190000163,0.004638671875
7,"Playing harmonica: A man walks onto the stage to join a band. A man

Answer choices:
A. plays harp and flute while two other people play instruments next to him.
B. and woman dance around together on the stage.
C. dance on the ropes attached to the stage.
D. plays up front of a band with a harmonica.","['plays harp and flute while two other people play instruments next to him.', 'and woman dance around together on the stage.', 'dance on the ropes attached to the stage.', 'plays up front of a band with a harmonica.']",3,1,0,0,12.616808755473848,0.0149422722502094,0.0178229836296513,1.9846513210031844,0.002197265625
8,"Using the pommel horse: A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. Then

Answer choices:
A. , the gymnast stand on his hand and jumps to land on the floor, while people applaud.
B. , the gymnast put the star light on his hands and jumps high using strength.
C. , the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it.
D. , the gymnast cross the pommel horse with the long rope while performing handsprings.","[', the gymnast stand on his hand and jumps to land on the floor, while people applaud.', ', the gymnast put the star light on his hands and jumps high using strength.', ', the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it.', ', the gymnast cross the pommel horse with the long rope while performing handsprings.']",0,0,1,1,14.713240395644654,0.014904677249433,0.0178280247668722,4.57010897501641,0.0048828125
9,"Surfing: The camera moves across the water and several people on boats and jet-skis are moving in the water near a large wave. More large waves begin to surface and a man begins surfing the waves. The forest

Answer choices:
A. is then shown clearly under a large wide wave.
B. is then shown and surf boards appear that are washed up against the banks of the water.
C. starts to get darker and darker as the large wave picks up and men continue to sail around it.
D. of trees quickly moves over the trailing wave and they follow suit as well.","['is then shown clearly under a large wide wave.', 'is then shown and surf boards appear that are washed up against the banks of the water.', 'starts to get darker and darker as the large wave picks up and men continue to sail around it.', 'of trees quickly moves over the trailing wave and they follow suit as well.']",1,2,0,0,20.57801524079887,0.0149183345001802,0.0178291692970168,4.3208447999877535,0.004638671875
