item_index,prompt,choices,gold_index,predicted_index,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_gb
0,Playing harmonica: A man is standing in front of a camera. He starts playing a harmonica for the camera. He,"['begins to play the harmonica with his body while looking at the camera.', 'seems to be singing while playing the harmonica.', 'rocks back and forth to the music as he goes.', 'painted a fence in front of the camera.']",2,1,0,0,9.610184242490384,0.08981509824934619,0.09057362297866065,13.130141232988535,0.0013083908706903458
1,Sharpening knives: Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. He,"['cuts the center stone in half and blow it on to make it bigger.', 'grind it hard to make the pieces smaller.', 'eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.', 'starts to party with them and throw the pieces by hand while they celebrate.']",1,2,0,1,23.224570756153287,0.08852541150008619,0.09009369760712374,18.0124663769966,0.0018152371048927307
2,"Cheerleading: A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. They all","['dance and flip on stage while hanging their hats on the sides.', 'continue dancing and flipping, doing hand springs.', 'dance together with flip up their sleeves.', 'perform their routines as the studio rashes to a halt with cheerleaders in the audience.']",1,1,1,1,22.07831932927058,0.08856099674903817,0.08995363465097246,17.625341839982866,0.0017844736576080322
3,Gargling mouthwash: A young boy and girl are standing over a sink with their mother talking. The mother,"[""is now putting lipstick on the boy's mouth and he tries to stop her but only gets a little bit stuck."", 'washes the boy while the child grabs shampoo.', 'shows some shaving cream on the boy who is scrubbing her brushes.', 'instructs them on how to brush their teeth while laughing.']",3,3,1,1,9.472704407102793,0.08858864149988221,0.09109882591839197,13.745881976003147,0.0015030084177851677
4,Cutting the grass: He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. The yard,"['is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth.', 'is very neat and clean and very active under the circumstances.', 'gets mowed quicker by the dog.', 'eventually looks happy on the outside and appears to be going pretty happily.']",0,0,1,0,16.704827897799504,0.08917745649978315,0.09102068105741427,19.380032166998717,0.002008923329412937
5,"Beer pong: The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. One of the ping pongs","['is knocked upside down, which causes the other teens to give each other high fives.', 'tries to rise but dikes instead.', 'rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on.', 'lands in the cup and one of the boys begins to drink the beer.']",3,3,1,1,5.094076791093936,0.08916846150077617,0.09133503996232153,22.18574839699795,0.0028349440544843674
6,Beer pong: One of the ping pongs lands in the cup and one of the boys begins to drink the beer. The group,"['of teens is sailing down the river with others sailing in the background.', 'gets up together and poses with their vests to celebrate.', 'continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh.', 'does a trick and the liquid is poured on a second table.']",2,2,1,0,17.693122393359296,0.08928319874939916,0.09148199301718185,16.36648157300442,0.002038584090769291
7,Playing harmonica: A man walks onto the stage to join a band. A man,"['plays harp and flute while two other people play instruments next to him.', 'and woman dance around together on the stage.', 'dance on the ropes attached to the stage.', 'plays up front of a band with a harmonica.']",3,1,0,0,12.53925351661732,0.08880532625062187,0.09189585262043289,10.279973388009239,0.001055198721587658
8,"Using the pommel horse: A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. Then","[', the gymnast stand on his hand and jumps to land on the floor, while people applaud.', ', the gymnast put the star light on his hands and jumps high using strength.', ', the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it.', ', the gymnast cross the pommel horse with the long rope while performing handsprings.']",0,3,0,0,15.833097271745103,0.08925741125040076,0.09099365544662498,23.37842447299772,0.0022015534341335297
9,Surfing: The camera moves across the water and several people on boats and jet-skis are moving in the water near a large wave. More large waves begin to surface and a man begins surfing the waves. The forest,"['is then shown clearly under a large wide wave.', 'is then shown and surf boards appear that are washed up against the banks of the water.', 'starts to get darker and darker as the large wave picks up and men continue to sail around it.', 'of trees quickly moves over the trailing wave and they follow suit as well.']",1,2,0,0,21.413560802404938,0.08892209850091604,0.08983831578657049,21.827045866994013,0.002099825069308281
