item_index,prompt,gold_index,predicted_index,correct,correct_raw,perplexity,ttft_sec,tbt_sec,total_latency_sec,peak_memory_mb
0,"Dodgeball: A large group of people are seen standing around a large gymnasium playing a game of dodge ball with one another. One man
A. hits the other after pulling the other down the court.
B. takes out a tennis ball while moving the other creatures around.
C. stands while the other kicks and hits at him while the pudding team cheerleaders cheer on.
D. performs an impressive flip that leads to a man speaking to the camera and showing more shots of impressive dodgeball play.",3,3,1,0,41.86514616673789,0.015095003750502656,0.01902464058882995,3.4848153209914017,2.5
1,"Playing accordion: A man is seen speaking to the camera while holding a large accordion in his hands. The man
A. plays the instrument while looking in the camera with his hands.
B. continues playing the instrument while looking off into the distance and pointing.
C. then demonstrates how to properly play the instrument while moving his hands up and down.
D. begins working out on the accordion while tying other pieces together and putting the ends together.",2,2,1,0,6.250124855508614,0.014926057499906165,0.01892329695076601,2.746812397008398,2.0
2,"Putting on makeup: She begins to put eye shadow on her eyelids and rubbing it in. She adds eyelash extensions on her eyes. Then
A. , she begins to contour her entire face little by little patting it down as she goes along.
B. she reappears and touches her eyelids.
C. she pretends to dusty your eyes.
D. she repeats the process with her lips.",0,3,0,0,19.86520058644281,0.014919491000000562,0.01893184749372532,3.0509098680086026,2.5
3,"Hurling: People are playing lacrosse on a field. They score a point into the net. Two men
A. high five on the field.
B. are standing behind a net holding sticks.
C. keep score, making a shot over the net.
D. fall to the ground.",0,1,0,0,11.990931170077534,0.014926248500614747,0.01903815673500099,2.2871693319975748,1.5
4,"Shaving: We see a man in a barber shop and see images of the shop. The barber speaks cut with scenes of a barber shop. We
A. then see the scene switch to the barber shop.
B. see cut with images but we see nothing.
C. see a lady order wax paper and a barber shop.
D. see a union jack flag on the arm of a chair.",3,0,0,0,17.61969677148959,0.014928080499885255,0.018923401303715153,3.0496097279865353,2.0
5,"Tumbling: The second woman is shown performing some sort of pose. The first woman is shown performing gymnastics once again. The second woman
A. then does heavily beam with the first woman.
B. is shown stretching her leg in the air.
C. is sitting at the speed of light and flashing the flag high into the air.
D. is shown with her cheerleading outfit on and the third woman performing same move.",1,1,1,1,6.688603705845977,0.014920043500296742,0.01894093743674925,3.0523482890075684,2.25
6,"Polishing forniture: He removes varnish from the top of the table. Afterwards, he does a light sanding of the table. With a tack rug
A. remover, he rearranges the table.
B. , he makes a straight design from the top of the table.
C. , he fixes the seat of the table.
D. , he removes the dust.",3,3,1,1,8.90578149407499,0.014928497999790125,0.018949836393824172,3.091687815011028,2.25
7,"Making a cake: A man in a chef's coat is standing in a kitchen talking to the camera. A pancake is shown with syrup being poured on it. Ingredients are placed in a bowl. The man
A. cracks an egg and whisks the ingredients in a bowl.
B. takes a knife and moves the spatula around the counter.
C. picks up the spatula on a plate and does as he is asked.
D. walks over to the toaster and begins eating the scrambled eggs he was eating.",0,0,1,1,5.591043769910024,0.014929623249827273,0.0189272062477833,4.1858494550160685,2.75
8,"Snow tubing: A person's car is shown from several angles with a person inside and leads into the car driving with people inside. The people
A. are moving the containers using the hose and cars behind them.
B. take turns driving the cars while also driving stones and gravel around.
C. are then shown in various angles riding up a snowy mountain and going down a hill.
D. go skiing together and end by holding hands.",2,2,1,0,12.46007587624847,0.014929838250282046,0.018951032792401803,3.072933566993015,2.25
9,"Doing karate: Two girls are standing up doing karate. People are sitting down watching them. A woman in a black robe
A. is talking to them.
B. is kissing a man.
C. is standing up next to them.
D. starts talking to another woman.",2,0,0,0,4.943874255386421,0.014933585749986378,0.019053788666630083,2.4033503489954455,1.5
10,"Playing water polo: The camera zooms in to show people swimming in the pool and some playing volleyball in the pool. One person gets out of the pool and walks away. A person
A. gets on the screen and writes on the bottom of the screen.
B. gets down on the floor and holds a ball down onto a volleyball net.
C. throws the ball at someone's face.
D. picks up a ball off the ground as the camera shows numerous objects made out of sand.",2,0,0,1,12.868739989526293,0.014919225499852473,0.018935004666709943,3.8088078260079783,2.75
11,"Archery: He takes another one and shoots it. He grabs another arrow from his waist and shoots again. He shoots an arrow once more. He
A. shoots again at a close range.
B. shoots a second arrow.
C. grabs a final arrow and shoots.
D. shoots two arrow from between his fingers.",2,2,1,0,4.97465475518701,0.014943990999654488,0.019020118853220268,2.779652960009116,1.75
12,"Smoking a cigarette: A man and a woman stand on a street talking on front a window. A person
A. exits a building and enters a gym.
B. passes on front the man and the woman.
C. water ski from a lake.
D. sitting down here carving a pumpkin and knitting at the same time.",1,1,1,0,25.677704305211165,0.01493026349999127,0.018987037200061726,2.338165518007372,1.75
13,"Playing drums: Using his foot for the base and drumming on the snare like a natural. A woman is on a piano playing along with the child. They
A. continue playing the drums and playing the music.
B. have a small audience sitting and watching them perform.
C. continue to play the drum better and play till there's no longer a fist drumming loudly in the background.
D. are both playing and singing along very intently while they're playing for joy.",1,1,1,1,11.599741069683938,0.014935448249616456,0.018954037145915602,3.566238664992852,2.75
14,"Trimming branches or hedges: He climbed the blue-green ladder to trim the top of the hedge, he moved the ladder to do the middle top of the hedge. The man
A. climbed the ladder to get in the ladder and climber up the ladder.
B. put the lawn mower down and walk as far as the ladder, he pushed the lawn mower against the ladder he was standing on.
C. trimmed the round low bush, used the ladder to trim the top of the round hedge.
D. worked up as fast as he could till he made it over that part right above the top of the hedge.",2,1,0,0,18.29003737833924,0.014938623500711401,0.01897685042532673,4.253638438000053,3.0
15,"Getting a haircut: There is a young man dressed in a black shirt going round in circles to show his hair from the front and back. Then he
A. fall off the chair and lands on his face and there are various things on the table next to him immediately he falls off the table onto his back but continues to be riding around doing circular motions on his butts.
B. takes a spray bottle and sprays his hair with water and combs it.
C. gets behind a large red ball and sits and the lights go up and he begins drinking from it as if he just won a jackpot.
D. sits down on the ground and starts to roll over, with his hands on his hips as he bounces up and down.",1,1,1,1,5.2121043717849815,0.01491636099990501,0.01899566754629616,4.371681977008848,3.5
16,"Getting a haircut: He then takes a razor and begins shaving the sides and the back of his head. He takes a pair of scissors and starts trimming the top part of hair. He
A. uses a black comb and scissors to point cut his hair.
B. clips the tails to give it a good shape.
C. starts with the back of his head that is now shaved.
D. combs all sections of his hair and finishes shaving around his crotch area.",0,0,1,0,15.398724542314126,0.014927546000308212,0.018949155159828375,3.7358462850079377,2.5
17,"Getting a haircut: He then combs the hair to style it. He runs his fingers through the hair to finish off the look. He
A. then cuts the hair off and takes it to the drier.
B. grabs his ruler and enjoys a final look before exiting the room with his hair combed.
C. rotates around to show his hairstyle from all angles.
D. then leaves the salon with his hair together.",2,2,1,0,19.895088671985206,0.014933353500509838,0.019059114575899417,3.071073516994147,2.25
18,"Playing pool: There's a woman dressed in black playing billiards in front of some spectators. After she
A. knocks down 6 pins, a person comes and jack by.
B. finishes her game, she begins knocking down fifty and counts it.
C. 's done rolling the ball, she puts on a red shirt and grabs her purple racquet.
D. 's done another lady takes her turn and hits a few shots.",3,2,0,1,27.09267085530774,0.014954768500501814,0.01892647781438167,2.7095259680154413,2.0
19,"Drum corps: The marching bands are in positioned in the field. Then the band started to play their instruments. The ladies with flags
A. were playing the drums.
B. moved their flags up and down and rotate them as the band plays.
C. came to the camp site and started to help the mother and sisters clean the back of the bike.
D. on their backs walked on front the marching band.",1,1,1,0,8.369269285726482,0.014940260499770375,0.019051074810371563,2.9745754879859305,2.25
20,"Decorating the Christmas tree: A man and a woman decorate a christmas tree from decorations around the room in sped-up video. A dog
A. comes and takes a cookie out of a bowl as well as food in the cookie cutter.
B. is now sitting in an armchair in front of a christmas tree as the woman continues decorating the tree using a red plastic tree and adorning the tree.
C. does an electric cart ride in slow motion underneath the christmas tree.
D. walks through the camera frame.",3,3,1,1,12.673523055452723,0.014944168500278465,0.019033167831430334,3.3334815410071315,2.75
